Metro,Country,Latitude,Longitude,Scanners,Online,Offline
New York,USA,40.7128,-74.0060,340,330,10
Los Angeles,USA,34.0522,-118.2437,280,268,12
Chicago,USA,41.8781,-87.6298,165,148,17
Toronto,Canada,43.6532,-79.3832,95,90,5
Dallas,USA,32.7767,-96.7970,48,44,4
Sao Paulo,Brazil,-23.5505,-46.6333,120,110,10
London,United Kingdom,51.5074,-0.1278,210,198,12
Paris,France,48.8566,2.3522,88,80,8
Berlin,Germany,52.5200,13.4050,42,30,12
Johannesburg,South Africa,-26.2041,28.0473,35,22,13
Tokyo,Japan,35.6762,139.6503,312,298,14
Sydney,Australia,-33.8688,151.2093,72,65,7
Hyderabad,India,17.3850,78.4867,125,120,5
Mumbai,India,19.0760,72.8777,155,140,15
Singapore,Singapore,1.3521,103.8198,55,52,3
Mexico City,Mexico,19.4326,-99.1332,38,28,10
